id|user|created_at|text|lang|label|retweet_count|favorite_count
1258470822781607936|16256269|Thu May 07 18:56:40 +0000 2020|"Very pleased to see the charges against a great American patriot, @GenFlynn, have been dropped.

The rule of law that exists in our great republic must not be forsaken. Justice has been served!"|en|R|9|63
1258423444284284929|16256269|Thu May 07 15:48:24 +0000 2020|Proud to join the wonderful folks at @FaithFestNC this afternoon during their virtual #NationalDayofPrayer! https://t.co/wWWHgf3BB7|en|R|1|1
1258381880795312128|16256269|Thu May 07 13:03:14 +0000 2020|Today, let us pray for guidance and wisdom to help us navigate the days ahead. Let us also pray for the first responders, truckers, manufacturers,  delivery people, and many more who are continuing the fight. Thank you for all that you do for our communities #NationalDayOfPrayer https://t.co/w5xkAzuotH|en|R|1|5
1258090373492195330|16256269|Wed May 06 17:44:53 +0000 2020|"When the call came that New York needed help, healthcare workers like those with @SamaritansPurse answered it. Now, they're being TAXED for providing relief to those in need. This is a slap in the face to these brave men and women.
 https://t.co/qEb9BkbFdr"|en|R|3|4
1258050057405976576|16256269|Wed May 06 15:04:41 +0000 2020|"America’s businesses are starting to open up again. Meanwhile, Speaker Pelosi chooses to bar Congress from doing our jobs.

It’s time that she completes her required reading: the blueprint from the @GOPLeader and my colleagues on @HouseAdmnGOP and @RulesReps to REOPEN Congress. https://t.co/QkSbh9BiSa"|en|R|103|350
1257784544784265216|16256269|Tue May 05 21:29:38 +0000 2020|These phenomenal men and women have transformed the way our students are taught during these times. Virtual lessons. Creating interactive videos for students. Exploring new ways to teach critical subjects. They are the embodiment of American ingenuity in action. Thank you all! https://t.co/OCmYiFkZ8P|en|R|1|2
1257773391169425409|16256269|Tue May 05 20:45:19 +0000 2020|Another story of how the #PaycheckProtectionProgram is helping small businesses in North Carolina. Every day, we continue to see more of our nation’s small businesses get back on their feet! https://t.co/w9pXbC70wT|en|R|13|38
1257763430481756161|16256269|Tue May 05 20:05:44 +0000 2020|"Spreading misinformation through the WHO ✅

Advancing a pandemic propaganda playbook ✅

Infiltrating our institutions of higher learning ✅

Targeting first responders ✅

See the pattern yet? China must be held accountable!

https://t.co/MuJ3lvyFiP"|en|R|1|3
1257743074211631117|16256269|Tue May 05 18:44:51 +0000 2020|For far too long, China’s encroachment on our public universities has gone unchecked. Securing America’s educational system requires us to combat the influence of bad actors like the CCP. I’m confident that @BetsyDeVosED will help lead the charge against their efforts. https://t.co/xYsucm7HxI|en|R|690|719
1257720061864947713|16256269|Tue May 05 17:13:24 +0000 2020|Congratulations to Marrianna Flores of Kernersville who was named a State Champion for Poetry Out Loud. Though the national finals were cancelled due to COVID-19, we can all celebrate the achievements of these exemplary students across the country. @NEArts #POL2020|en|R|0|2
1257703767551741954|16256269|Tue May 05 16:08:39 +0000 2020|John Ratcliffe is a man with unquestionable integrity. As a staunch defender of national security, and as an unyielding voice for the rule of law in this country, I’m confident that he will serve our country well as the Director of National Intelligence.|en|R|6|9
1257665590229172226|16256269|Tue May 05 13:36:57 +0000 2020|"House Democrats are complacent with inaction and indifference. China’s influence continues to grow. Americans are losing their jobs. Small businesses have growing weight on their shoulders. Meanwhile, House Democrats are nowhere to be found 🔎. 

We cannot allow any more delay. https://t.co/BGPgldtjww"|en|R|205|699
1257422809556549633|16256269|Mon May 04 21:32:14 +0000 2020|Try this on for size: the CCP is a regime built upon oppressing dissenting views at all costs. It’s not a verdict of many, it’s the verdict of a regime that quashes free speech and substitutes public discourse with propaganda. People have died at the hands of the CCP. Shameful! https://t.co/5sXRJZx3HJ|en|R|648|722
1257380219410882560|16256269|Mon May 04 18:42:59 +0000 2020|House Democrats are sending a clear message that abdicating Congress' duty to serve the American people is more of a priority than getting America back to work. Republicans are approaching things differently. We're working to protect the American people instead of sitting idly by https://t.co/jx9Uo5D2hZ|en|R|62|202
1257357076252237831|16256269|Mon May 04 17:11:02 +0000 2020|Since 1678, America’s Firefighters have been saving lives and protecting our nation’s communities. When disaster strikes, these brave men and women are there to answer the call. Join me in thanking them for their service! https://t.co/ClJg3U3O6g|en|R|1|3
1257322024243884034|16256269|Mon May 04 14:51:45 +0000 2020|It’s high time that Congress returns to regular order and this blueprint laid out by the @gopleader and my colleagues on the @HouseAdminGOP and @RulesReps will help do just that. Now is not the time to bench Congress. We must deliver for the American people without any more delay https://t.co/BjXjSK1C1K|en|R|119|436
1257298341987323906|16256269|Mon May 04 13:17:38 +0000 2020|America’s educators are tasked with the important job of helping children reach their utmost potential. Now, when parents and families look to digital learning for their children, these men and women continue to innovate and inspire. Thank you all! Happy #TeacherAppreciationWeek!|en|R|18|80
1256687644328763393|16256269|Sat May 02 20:50:57 +0000 2020|Strong pass. https://t.co/uy71pSQuO8|en|R|1|9
1256327138048802821|16256269|Fri May 01 20:58:25 +0000 2020|"Today marks the beginning of #MilitaryAppreciationMonth and I want to thank the men and women in our armed forces and their families for the sacrifices they have made.

America’s enduring freedom is closely guarded by these selfless patriots. Thank you for your service!🇺🇸"|en|R|2|11
1256289336968056835|16256269|Fri May 01 18:28:13 +0000 2020|Our nation is not solely built by brick and mortar, it’s built by our collective resiliency. The men and women fighting on the front lines. The businesses spurring innovation. Communities rallying together. We don’t give in, we rise and fight. That’s the American spirit at work.|en|R|2|7
1256257988974739457|16256269|Fri May 01 16:23:39 +0000 2020|Joining my colleagues on the Education &amp; Labor Committee this afternoon to discuss how our constituencies are stepping up to combat COVID-19. https://t.co/6rhQx1mQSx|en|R|6|22
1256011454383341568|16256269|Fri May 01 00:04:00 +0000 2020|"The FBI knowingly undermined the rule of law that exists in this country, and the American people should be concerned about the dangerous precedent that this creates. 

This is nothing short of a coordinated hit job against @GenFlynn. https://t.co/leecM0vPHb"|en|R|6|12
1255909429381341190|16256269|Thu Apr 30 17:18:36 +0000 2020|"Comey’s coterie within the FBI had President @realdonaldtrump and General Flynn within their crosshairs. The FBI lied. A duly elected President was attacked. And a decorated hero had his life upended. 

Sounds like a book Comey would love to write. https://t.co/D960d5iF02"|en|R|6|15
1255846363826466816|16256269|Thu Apr 30 13:08:00 +0000 2020|"Businesses in North Carolina's 5th District are doing their part to defeat COVID-19. Indera Mills, a company with 106 years of history in NC, produces more than 20,000 masks per day and is delivering them across all 50 states. Keep it up!

https://t.co/BfnVqxL9bL?"|en|R|7|54
1255645964053995520|16256269|Wed Apr 29 23:51:41 +0000 2020|"Speaker Pelosi’s Three Point Plan:

Name. Shame. Defame.

This isn’t a committee dedicated to oversight. It’s a committee dedicated to attacking a duly elected president at the taxpayers expense.

Impeachment Sham 2.0 https://t.co/qVnG8KvXQJ"|en|R|2|7
1255622652749910018|16256269|Wed Apr 29 22:19:03 +0000 2020|Protecting one of America’s most critical supply chains is far from confounding, Senator. America’s farmers and manufacturers are the backbone of our nation and families would not be able to put food on the table without them. We don’t cast aside our farmers, we stand by them. https://t.co/k10WHEJIHC|en|R|5|10
1255587916585238528|16256269|Wed Apr 29 20:01:01 +0000 2020|Congratulations to the exceptional graduates of the Department of Government and Justice Studies at ⁦@appstate⁩! Though we’re apart, we can all come together to recognize the class of 2020 and all of their amazing accomplishments 🎓 https://t.co/h41bti6Yvc|en|R|2|5
1255560207054315524|16256269|Wed Apr 29 18:10:55 +0000 2020|By not resuming the work of the People’s House, Democrats have forsaken the accountability that they claim to champion. I share the sentiment of the @GOPleader, the American people deserve elected leaders who do not shy away from the duties that they swore to uphold. https://t.co/ElVbWhcPWx|en|R|4|7
1255552072293982208|16256269|Wed Apr 29 17:38:35 +0000 2020|For years, I've fought alongside my colleagues to hold scammers accountable for unwanted calls that defraud and disrupt the American people. Very pleased to see action by the @FCC on this issue. The actions of these bad actors must not go unchecked. https://t.co/rIEMZZcJu8|en|R|2|3
1255505562692915200|16256269|Wed Apr 29 14:33:46 +0000 2020|"Hardworking Americans on the front lines are fighting, but Speaker Pelosi &amp; House Democrats are nowhere to be found. The American people need to see Congress in action and not sitting on the sidelines. ""Where's Waldo""? No, it's ""Where Are The Democrats?"". https://t.co/DK9yo5BhXw"|en|R|81|212
1255489692017057794|16256269|Wed Apr 29 13:30:43 +0000 2020|"Debbie, Barbara, and Linda embody the spirit of #InItTogether. Sewing 70 masks per day and they've already donated over 1,200 masks to date. Thank you for stepping up and helping your community!

 https://t.co/qszQjVPFkP?"|en|R|3|8
1255280803023634435|16256269|Tue Apr 28 23:40:40 +0000 2020|By unleashing the true potential of the private sector, American innovation is put into the express lane. Great news indeed! Keep pushing forward! https://t.co/tfd8fA2tXI|en|R|1|2
1255268280740257792|16256269|Tue Apr 28 22:50:54 +0000 2020|Another great story about the #PaycheckProtectionProgram making a positive impact in North Carolina! https://t.co/c6ME8MgdAH|en|R|1|7
1255248960731701248|16256269|Tue Apr 28 21:34:08 +0000 2020|Let these figures be a reminder that America is leading this fight. Thanks to @realDonaldTrump's blueprint that increases testing in the states, we are making sizable progress. Though the mainstream media will say otherwise, we're getting the job done! https://t.co/XBYbHgFTmV|en|R|12|34
1255221943504076803|16256269|Tue Apr 28 19:46:46 +0000 2020|We’re no strangers to comeback stories. America’s economic engine is not down for the count. Everyday Americans are stepping up. The private sector is helping lead the charge. Americans helping Americans. Neighbors helping neighbors. We will defeat COVID-19 together.|en|R|17|78
1255199150901284871|16256269|Tue Apr 28 18:16:12 +0000 2020|I wholeheartedly agree with my colleague @repmarkwalker. The @GOPleader and Republicans have emphasized that the House must return to regular order. If Speaker Pelosi and Leader Hoyer want to accuse @realdonaldtrump of inaction, they need to take a long look in the mirror first. https://t.co/uiVE5DMfSB|en|R|22|53
